year,county,sex,race,deaths
2010,Harper,Male,American Indian or Alaska Native,0.0
2010,Harper,Male,Asian,0.0
2010,Harper,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Harper,Male,Other,0.0
2010,Harper,Male,Unknown,0.0
2010,Harper,Male,More than one race,0.0
2010,Haskell,Male,White,9.0
2010,Haskell,Male,Black or African American,0.0
2010,Haskell,Male,American Indian or Alaska Native,0.0
2010,Haskell,Male,Asian,0.0
2010,Haskell,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Haskell,Male,Other,0.0
2010,Haskell,Male,Unknown,0.0
2010,Haskell,Male,More than one race,0.0
2010,Hughes,Male,White,8.0
2010,Hughes,Male,Black or African American,0.0
2010,Hughes,Male,American Indian or Alaska Native,0.0
2010,Hughes,Male,Asian,0.0
2010,Hughes,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Hughes,Male,Other,0.0
2010,Hughes,Male,Unknown,0.0
2010,Hughes,Male,More than one race,0.0
2010,Jackson,Male,White,10.0
2010,Jackson,Male,Black or African American,0.0
2010,Jackson,Male,American Indian or Alaska Native,0.0
2010,Jackson,Male,Asian,0.0
2010,Jackson,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Jackson,Male,Other,0.0
2010,Jackson,Male,Unknown,0.0
2010,Jackson,Male,More than one race,0.0
2010,Jefferson,Male,White,0.0
2010,Jefferson,Male,Black or African American,0.0
2010,Jefferson,Male,American Indian or Alaska Native,0.0
2010,Jefferson,Male,Asian,0.0
2010,Jefferson,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Jefferson,Male,Other,0.0
2010,Jefferson,Male,Unknown,0.0
2010,Jefferson,Male,More than one race,0.0
2010,Johnston,Male,White,12.0
2010,Johnston,Male,Black or African American,0.0
2010,Johnston,Male,American Indian or Alaska Native,0.0
2010,Johnston,Male,Asian,0.0
2010,Johnston,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Johnston,Male,Other,0.0
2010,Johnston,Male,Unknown,0.0
2010,Johnston,Male,More than one race,0.0
2010,Kay,Male,White,30.0
2010,Kay,Male,Black or African American,0.0
2010,Kay,Male,American Indian or Alaska Native,0.0
2010,Kay,Male,Asian,0.0
2010,Kay,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Kay,Male,Other,0.0
2010,Kay,Male,Unknown,0.0
2010,Kay,Male,More than one race,0.0
2010,Kingfisher,Male,White,6.0
2010,Kingfisher,Male,Black or African American,0.0
2010,Kingfisher,Male,American Indian or Alaska Native,0.0
2010,Kingfisher,Male,Asian,0.0
2010,Kingfisher,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Kingfisher,Male,Other,0.0
2010,Kingfisher,Male,Unknown,0.0
2010,Kingfisher,Male,More than one race,0.0
2010,Kiowa,Male,White,13.0
2010,Kiowa,Male,Black or African American,0.0
2010,Kiowa,Male,American Indian or Alaska Native,0.0
2010,Kiowa,Male,Asian,0.0
2010,Kiowa,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Kiowa,Male,Other,0.0
2010,Kiowa,Male,Unknown,0.0
2010,Kiowa,Male,More than one race,0.0
2010,Latimer,Male,White,0.0
2010,Latimer,Male,Black or African American,0.0
2010,Latimer,Male,American Indian or Alaska Native,0.0
2010,Latimer,Male,Asian,0.0
2010,Latimer,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Latimer,Male,Other,0.0
2010,Latimer,Male,Unknown,0.0
2010,Latimer,Male,More than one race,0.0
2010,Le Flore,Male,White,35.0
2010,Le Flore,Male,Black or African American,0.0
2010,Le Flore,Male,American Indian or Alaska Native,0.0
2010,Le Flore,Male,Asian,0.0
2010,Le Flore,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Le Flore,Male,Other,0.0
2010,Le Flore,Male,Unknown,0.0
2010,Le Flore,Male,More than one race,0.0
2010,Lincoln,Male,White,15.0
2010,Lincoln,Male,Black or African American,0.0
2010,Lincoln,Male,American Indian or Alaska Native,0.0
2010,Lincoln,Male,Asian,0.0
2010,Lincoln,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Lincoln,Male,Other,0.0
2010,Lincoln,Male,Unknown,0.0
2010,Lincoln,Male,More than one race,0.0
2010,Logan,Male,White,17.0
2010,Logan,Male,Black or African American,0.0
2010,Logan,Male,American Indian or Alaska Native,0.0
2010,Logan,Male,Asian,0.0
2010,Logan,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Logan,Male,Other,0.0
2010,Logan,Male,Unknown,0.0
2010,Logan,Male,More than one race,0.0
2010,Love,Male,White,0.0
2010,Love,Male,Black or African American,0.0
2010,Love,Male,American Indian or Alaska Native,0.0
2010,Love,Male,Asian,0.0
2010,Love,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Love,Male,Other,0.0
2010,Love,Male,Unknown,0.0
2010,Love,Male,More than one race,0.0
2010,McClain,Male,White,22.0
2010,McClain,Male,Black or African American,0.0
2010,McClain,Male,American Indian or Alaska Native,0.0
