"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"25-29 years",28,570,49.1
,"30-34 years",13,579,22.5
,"35-39 years",".",580,"."
,"40-44 years",".",696,"."
"Roger Mills","15-17 years",".",143,"."
,"18-19 years",7,75,93.3
,"20-24 years",15,165,90.9
,"25-29 years",21,233,90.1
,"30-34 years",9,202,44.6
,"35-39 years",".",181,"."
,"40-44 years",".",193,"."
"Rogers","15-17 years",24,4159,5.8
,"18-19 years",78,2443,31.9
,"20-24 years",273,5015,54.4
,"25-29 years",303,4957,61.1
,"30-34 years",196,4896,40.0
,"35-39 years",78,5572,14.0
,"40-44 years",13,5979,2.2
"Seminole","10-14 years",".",1926,"."
,"15-17 years",13,1110,11.7
,"18-19 years",39,760,51.3
,"20-24 years",111,1434,77.4
,"25-29 years",85,1430,59.4
,"30-34 years",44,1425,30.9
,"35-39 years",19,1407,13.5
,"40-44 years",".",1531,"."
"Sequoyah","10-14 years",".",3121,"."
,"15-17 years",24,1965,12.2
,"18-19 years",63,1095,57.5
,"20-24 years",198,2296,86.2
,"25-29 years",153,2332,65.6
,"30-34 years",75,2405,31.2
,"35-39 years",27,2696,10.0
,"40-44 years",5,2827,1.8
"Stephens","15-17 years",11,1771,6.2
,"18-19 years",55,1073,51.3
,"20-24 years",192,2358,81.4
,"25-29 years",175,2677,65.4
,"30-34 years",91,2723,33.4
,"35-39 years",22,2563,8.6
,"40-44 years",8,2556,3.1
"Texas","10-14 years",".",1598,"."
,"15-17 years",21,891,23.6
,"18-19 years",35,724,48.3
,"20-24 years",110,1787,61.6
,"25-29 years",92,1518,60.6
,"30-34 years",67,1451,46.2
,"35-39 years",22,1352,16.3
,"40-44 years",5,1264,4.0
,"45-54 years",".",2562,"."
"Tillman","10-14 years",".",578,"."
,"15-17 years",".",351,"."
,"18-19 years",10,214,46.7
,"20-24 years",38,410,92.7
,"25-29 years",30,485,61.9
,"30-34 years",13,400,32.5
,"35-39 years",".",426,"."
,"40-44 years",".",486,"."
"Tulsa","10-14 years",21,41510,0.5
,"15-17 years",309,24966,12.4
,"18-19 years",670,16523,40.5
,"20-24 years",2532,42109,60.1
,"25-29 years",2739,45619,60.0
,"30-34 years",1967,41926,46.9
,"35-39 years",828,39753,20.8
,"40-44 years",179,38879,4.6
,"45-54 years",9,83568,0.1
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",5564,"."
,"15-17 years",22,3213,6.8
,"18-19 years",49,1798,27.3
,"20-24 years",213,3662,58.2
,"25-29 years",343,4581,74.9
,"30-34 years",188,4918,38.2
,"35-39 years",56,5062,11.1
,"40-44 years",9,4799,1.9
"Washington","15-17 years",32,2066,15.5
,"18-19 years",72,1327,54.3
,"20-24 years",187,2874,65.1
,"25-29 years",200,3055,65.5
,"30-34 years",117,2769,42.3
,"35-39 years",51,2907,17.5
,"40-44 years",11,2901,3.8
"Washita","15-17 years",5,473,10.6
,"18-19 years",15,266,56.4
,"20-24 years",54,600,90.0
,"25-29 years",48,714,67.2
,"30-34 years",14,716,19.6
,"35-39 years",".",620,"."
,"40-44 years",".",633,"."
"Woods","15-17 years",".",257,"."
,"18-19 years",7,445,15.7
,"20-24 years",31,1224,25.3
,"25-29 years",22,645,34.1
,"30-34 years",15,501,29.9
,"35-39 years",9,417,21.6
,"40-44 years",".",421,"."
"Woodward","15-17 years",16,769,20.8
,"18-19 years",16,438,36.5
,"20-24 years",103,1236,83.3
,"25-29 years",81,1532,52.9
,"30-34 years",40,1418,28.2
,"35-39 years",13,1252,10.4
,"40-44 years",5,1225,4.1

Year 2011
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",5,".","."
,"20-24 years",25,".","."
,"25-29 years",20,".","."
,"30-34 years",7,".","."
,"35-39 years",6,".","."
"Adair","10-14 years",".",1811,"."
,"15-17 years",9,1041,8.6
,"18-19 years",34,651,52.2
,"20-24 years",137,1304,105.1
,"25-29 years",90,1326,67.9
,"30-34 years",30,1328,22.6
,"35-39 years",15,1434,10.5
,"40-44 years",7,1427,4.9
"Alfalfa","10-14 years",".",294,"."
,"18-19 years",".",97,"."
,"20-24 years",18,219,82.2
,"25-29 years",20,273,73.3
,"30-34 years",11,275,40.0
,"35-39 years",".",415,"."
,"40-44 years",".",448,"."
"Atoka","15-17 years",10,590,16.9
,"18-19 years",21,338,62.1
,"20-24 years",64,817,78.3
,"25-29 years",52,915,56.8
,"30-34 years",20,873,22.9
,"35-39 years",13,857,15.2
,"40-44 years",".",853,"."
,"45-54 years",".",2000,"."
"Beaver","18-19 years",6,144,41.7
,"20-24 years",27,281,96.1
,"25-29 years",20,296,67.6
,"30-34 years",8,332,24.1
,"35-39 years",".",290,"."
,"40-44 years",".",353,"."
"Beckham","10-14 years",".",1326,"."
,"15-17 years",12,799,15.0
,"18-19 years",60,518,115.8
,"20-24 years",131,1626,80.6
,"25-29 years",92,1859,49.5
,"30-34 years",57,1644,34.7
,"35-39 years",16,1394,11.5
,"40-44 years",".",1379,"."
"Blaine","15-17 years",6,399,15.0
,"18-19 years",10,233,42.9
,"20-24 years",53,519,102.1
,"25-29 years",29,520,55.8
,"30-34 years",19,514,37.0
"Bryan","15-17 years",19,1600,11.9
,"18-19 years",62,1315,47.1
,"20-24 years",242,3648,66.3
,"25-29 years",171,2915,58.7
,"30-34 years",78,2651,29.4
,"35-39 years",28,2419,11.6
,"40-44 years",7,2574,2.7
,"45-54 years",".",5503,"."
,"Unknown Age",".",".","."
"Caddo","15-17 years",31,1239,25.0
,"18-19 years",54,743,72.7
,"20-24 years",133,1802,73.8
,"25-29 years",121,2015,60.0
,"30-34 years",72,1907,37.8
,"35-39 years",23,1699,13.5
,"40-44 years",8,1853,4.3
"Canadian","10-14 years",".",9025,"."
,"15-17 years",46,5246,8.8
,"18-19 years",93,2706,34.4
,"20-24 years",333,6444,51.7
,"25-29 years",566,8462,66.9
,"30-34 years",363,8804,41.2
,"35-39 years",141,8480,16.6
,"40-44 years",21,8459,2.5
,"45-54 years",".",16893,"."
"Carter","10-14 years",".",3537,"."
,"15-17 years",28,2000,14.0
,"18-19 years",64,1148,55.7
,"20-24 years",190,2589,73.4
,"25-29 years",171,3032,56.4
,"30-34 years",93,2955,31.5
,"35-39 years",48,3039,15.8
,"40-44 years",".",2937,"."
,"45-54 years",".",6707,"."
"Cherokee","10-14 years",".",3165,"."
,"15-17 years",33,2041,16.2
,"18-19 years",57,2014,28.3
,"20-24 years",258,4776,54.0
,"25-29 years",185,3134,59.0
,"30-34 years",93,2842,32.7
,"35-39 years",39,2584,15.1
,"40-44 years",5,2722,1.8
"Choctaw","15-17 years",7,573,12.2
,"18-19 years",32,326,98.2
,"20-24 years",80,891,89.8
,"25-29 years",42,790,53.2
,"30-34 years",17,822,20.7
,"35-39 years",10,809,12.4
,"40-44 years",".",869,"."
"Cimarron","15-17 years",".",98,"."
,"18-19 years",".",47,"."
,"20-24 years",9,103,87.4
,"25-29 years",13,119,109.2
,"30-34 years",".",112,"."
,"35-39 years",".",132,"."
"Cleveland","10-14 years",5,16610,0.3
,"15-17 years",54,9559,5.6
,"18-19 years",164,9930,16.5
,"20-24 years",719,28654,25.1
,"25-29 years",1047,21279,49.2
,"30-34 years",720,19326,37.3
,"35-39 years",258,16555,15.6
,"40-44 years",54,16146,3.3
,"45-54 years",".",33870,"."
,"Unknown Age",".",".","."
"Coal","18-19 years",6,146,41.1
,"20-24 years",31,326,95.1
,"25-29 years",20,288,69.4
,"30-34 years",12,326,36.8
,"35-39 years",6,348,17.2
"Comanche","10-14 years",".",8151,"."
,"15-17 years",41,4836,8.5
,"18-19 years",157,4785,32.8
,"20-24 years",699,12316,56.8
,"25-29 years",653,11542,56.6
,"30-34 years",322,9737,33.1
,"35-39 years",111,7698,14.4
,"40-44 years",28,7573,3.7
,"45-54 years",".",15911,"."
,"Unknown Age",".",".","."
"Cotton","15-17 years",".",253,"."
,"18-19 years",7,158,44.3
,"20-24 years",21,331,63.4
,"25-29 years",26,336,77.4
,"30-34 years",7,361,19.4
,"35-39 years",".",336,"."
"Craig","15-17 years",".",603,"."
,"18-19 years",19,377,50.4
,"20-24 years",61,881,69.2
,"25-29 years",43,828,51.9
,"30-34 years",18,829,21.7
,"35-39 years",12,830,14.5
,"40-44 years",6,978,6.1
"Creek","10-14 years",".",5094,"."
,"15-17 years",22,3030,7.3
,"18-19 years",79,1741,45.4
,"20-24 years",268,3886,69.0
,"25-29 years",226,4025,56.1
,"30-34 years",149,4158,35.8
,"35-39 years",62,4096,15.1
,"40-44 years",13,4451,2.9
,"45-54 years",".",10487,"."
"Custer","15-17 years",17,1027,16.6
,"18-19 years",44,1209,36.4
,"20-24 years",162,3660,44.3
,"25-29 years",120,2155,55.7
,"30-34 years",69,1644,42.0
,"35-39 years",37,1389,26.6
,"40-44 years",6,1349,4.4
"Delaware","15-17 years",19,1684,11.3
,"18-19 years",50,943,53.0
,"20-24 years",165,2064,79.9
,"25-29 years",111,1881,59.0
,"30-34 years",41,1990,20.6
,"35-39 years",12,2172,5.5
,"40-44 years",5,2376,2.1
"Dewey","15-17 years",".",204,"."
,"18-19 years",6,108,55.6
,"20-24 years",19,186,102.2
,"25-29 years",18,248,72.6
,"30-34 years",12,277,43.3
,"35-39 years",".",235,"."
"Ellis","15-17 years",".",167,"."
,"18-19 years",".",81,"."
,"20-24 years",13,142,91.5
,"25-29 years",14,198,70.7
,"30-34 years",5,216,23.1
,"35-39 years",".",228,"."
"Garfield","10-14 years",".",3966,"."
,"15-17 years",35,2293,15.3
,"18-19 years",77,1417,54.3
,"20-24 years",273,4070,67.1
,"25-29 years",309,4289,72.0
,"30-34 years",176,4096,43.0
,"35-39 years",51,3343,15.3
,"40-44 years",6,3361,1.8
,"45-54 years",".",8330,"."
"Garvin","15-17 years",11,1101,10.0
,"18-19 years",40,624,64.1
,"20-24 years",138,1516,91.0
,"25-29 years",103,1604,64.2
,"30-34 years",53,1641,32.3
,"35-39 years",16,1660,9.6
,"40-44 years",".",1676,"."
"Grady","15-17 years",22,2267,9.7
,"18-19 years",62,1320,47.0
,"20-24 years",161,3256,49.4
,"25-29 years",182,3145,57.9
,"30-34 years",138,3328,41.5
,"35-39 years",45,3191,14.1
,"40-44 years",".",3379,"."
,"45-54 years",".",7883,"."
"Grant","15-17 years",".",180,"."
,"18-19 years",".",101,"."
,"20-24 years",13,193,67.4
,"25-29 years",21,215,97.7
,"30-34 years",7,247,28.3
,"35-39 years",".",232,"."
,"40-44 years",".",240,"."
"Greer","15-17 years",7,193,36.3
,"18-19 years",5,116,43.1
,"20-24 years",23,385,59.7
,"25-29 years",20,523,38.2
,"30-34 years",8,447,17.9
,"35-39 years",".",406,"."
"Harmon","15-17 years",".",110,"."
,"18-19 years",".",85,"."
,"20-24 years",10,144,69.4
,"25-29 years",9,165,54.5
,"30-34 years",11,172,64.0
,"35-39 years",".",151,"."
"Harper","15-17 years",".",146,"."
,"18-19 years",".",98,"."
,"20-24 years",8,148,54.1
,"25-29 years",20,258,77.5
,"30-34 years",12,236,50.8
,"35-39 years",".",197,"."
"Haskell","15-17 years",5,552,9.1
,"18-19 years",17,311,54.7
,"20-24 years",78,716,108.9
,"25-29 years",49,712,68.8
,"30-34 years",12,729,16.5
,"35-39 years",7,699,10.0
