"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"35-39 years",36,2235,16.1
,"40-44 years",6,2270,2.6
,"45-54 years",".",4900,"."
"Stephens","15-17 years",10,1837,5.4
,"18-19 years",22,960,22.9
,"20-24 years",156,2254,69.2
,"25-29 years",158,2389,66.1
,"30-34 years",81,2563,31.6
,"35-39 years",51,2619,19.5
,"40-44 years",6,2634,2.3
"Texas","15-17 years",5,930,5.4
,"18-19 years",19,700,27.1
,"20-24 years",78,1612,48.4
,"25-29 years",84,1314,63.9
,"30-34 years",62,1418,43.7
,"35-39 years",35,1339,26.1
,"40-44 years",".",1336,"."
,"Unknown Age",".",".","."
"Tillman","10-14 years",".",481,"."
,"18-19 years",6,169,35.5
,"20-24 years",21,414,50.7
,"25-29 years",18,380,47.4
,"30-34 years",14,407,34.4
,"35-39 years",7,393,17.8
,"40-44 years",".",429,"."
"Tulsa","10-14 years",8,48514,0.2
,"15-17 years",119,28568,4.2
,"18-19 years",381,16331,23.3
,"20-24 years",1850,42887,43.1
,"25-29 years",2576,47290,54.5
,"30-34 years",2426,48672,49.8
,"35-39 years",1078,47172,22.9
,"40-44 years",197,43106,4.6
,"45-54 years",11,78383,0.1
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",6017,"."
,"15-17 years",8,3590,2.2
,"18-19 years",26,1811,14.4
,"20-24 years",181,4528,40.0
,"25-29 years",304,5268,57.7
,"30-34 years",293,5765,50.8
,"35-39 years",86,5845,14.7
,"40-44 years",13,5644,2.3
"Washington","15-17 years",".",2193,"."
,"18-19 years",24,1237,19.4
,"20-24 years",145,2935,49.4
,"25-29 years",190,3067,61.9
,"30-34 years",154,3349,46.0
,"35-39 years",58,3511,16.5
,"40-44 years",8,3058,2.6
"Washita","10-14 years",".",788,"."
,"15-17 years",".",482,"."
,"18-19 years",7,225,31.1
,"20-24 years",39,521,74.9
,"25-29 years",39,618,63.1
,"30-34 years",21,632,33.2
,"35-39 years",8,708,11.3
,"40-44 years",".",650,"."
"Woods","10-14 years",".",518,"."
,"15-17 years",".",278,"."
,"18-19 years",".",421,"."
,"20-24 years",26,982,26.5
,"25-29 years",29,563,51.5
,"30-34 years",20,591,33.8
,"35-39 years",7,549,12.8
,"40-44 years",".",460,"."
"Woodward","15-17 years",".",853,"."
,"18-19 years",15,442,33.9
,"20-24 years",67,1215,55.1
,"25-29 years",69,1392,49.6
,"30-34 years",46,1357,33.9
,"35-39 years",12,1374,8.7
,"40-44 years",".",1386,"."

Year 2022
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",".",".","."
,"20-24 years",16,".","."
,"25-29 years",5,".","."
,"30-34 years",10,".","."
,"35-39 years",".",".","."
,"Unknown Age",".",".","."
"Adair","15-17 years",7,852,8.2
,"18-19 years",24,509,47.2
,"20-24 years",101,1222,82.7
,"25-29 years",66,1148,57.5
,"30-34 years",52,1183,44.0
,"35-39 years",29,1124,25.8
,"40-44 years",".",1164,"."
,"45-54 years",".",2431,"."
"Alfalfa","18-19 years",".",90,"."
,"20-24 years",12,224,53.6
,"25-29 years",18,264,68.2
,"30-34 years",8,319,25.1
,"35-39 years",5,504,9.9
,"40-44 years",".",504,"."
"Atoka","15-17 years",".",515,"."
,"18-19 years",13,272,47.8
,"20-24 years",45,872,51.6
,"25-29 years",47,1031,45.6
,"30-34 years",29,1010,28.7
,"35-39 years",6,1006,6.0
,"45-54 years",".",1696,"."
"Beaver","15-17 years",".",278,"."
,"18-19 years",".",155,"."
,"20-24 years",13,298,43.6
,"25-29 years",21,241,87.1
,"30-34 years",16,278,57.6
,"35-39 years",".",277,"."
,"Unknown Age",".",".","."
"Beckham","15-17 years",".",939,"."
,"18-19 years",17,526,32.3
,"20-24 years",84,1490,56.4
,"25-29 years",78,1534,50.8
,"30-34 years",63,1704,37.0
,"35-39 years",26,1630,16.0
,"40-44 years",".",1492,"."
"Blaine","15-17 years",".",392,"."
,"18-19 years",11,188,58.5
,"20-24 years",26,479,54.3
,"25-29 years",35,408,85.8
,"30-34 years",23,462,49.8
,"35-39 years",".",474,"."
,"40-44 years",".",472,"."
"Bryan","15-17 years",8,1793,4.5
,"18-19 years",33,1258,26.2
,"20-24 years",222,3427,64.8
,"25-29 years",193,3263,59.1
,"30-34 years",141,3532,39.9
,"35-39 years",45,3121,14.4
,"40-44 years",5,2883,1.7
,"45-54 years",".",5483,"."
"Caddo","15-17 years",9,1016,8.9
,"18-19 years",21,594,35.4
,"20-24 years",87,1781,48.8
,"25-29 years",94,2055,45.7
,"30-34 years",66,1941,34.0
,"35-39 years",20,1843,10.9
,"40-44 years",".",1785,"."
,"Unknown Age",".",".","."
"Canadian","10-14 years",".",12571,"."
,"15-17 years",12,7541,1.6
,"18-19 years",56,3732,15.0
,"20-24 years",358,9830,36.4
,"25-29 years",705,11692,60.3
,"30-34 years",624,13201,47.3
,"35-39 years",277,13673,20.3
,"40-44 years",39,12413,3.1
,"45-54 years",".",20265,"."
,"Unknown Age",".",".","."
"Carter","15-17 years",17,2111,8.1
,"18-19 years",33,1121,29.4
,"20-24 years",200,3033,65.9
,"25-29 years",207,3086,67.1
,"30-34 years",124,3165,39.2
,"35-39 years",36,3046,11.8
,"40-44 years",8,2998,2.7
"Cherokee","10-14 years",".",2969,"."
,"15-17 years",8,1752,4.6
,"18-19 years",23,1668,13.8
,"20-24 years",169,5386,31.4
,"25-29 years",147,3020,48.7
,"30-34 years",110,2880,38.2
,"35-39 years",49,2835,17.3
,"40-44 years",13,2857,4.6
,"45-54 years",".",5032,"."
"Choctaw","18-19 years",17,307,55.4
,"20-24 years",49,814,60.2
,"25-29 years",52,800,65.0
,"30-34 years",39,857,45.5
,"35-39 years",17,769,22.1
,"40-44 years",".",772,"."
"Cimarron","15-17 years",".",98,"."
,"18-19 years",".",47,"."
,"20-24 years",5,126,39.7
,"25-29 years",11,88,125.0
,"30-34 years",6,103,58.3
,"35-39 years",".",116,"."
"Cleveland","10-14 years",".",18078,"."
,"15-17 years",26,11627,2.2
,"18-19 years",88,12141,7.2
,"20-24 years",533,34231,15.6
,"25-29 years",879,21167,41.5
,"30-34 years",798,20319,39.3
,"35-39 years",359,20286,17.7
,"40-44 years",64,20121,3.2
,"45-54 years",7,33389,0.2
"Coal","15-17 years",".",227,"."
,"18-19 years",6,125,48.0
,"20-24 years",28,324,86.4
,"25-29 years",27,309,87.4
,"30-34 years",7,302,23.2
,"35-39 years",".",265,"."
"Comanche","15-17 years",23,4601,5.0
,"18-19 years",75,4073,18.4
,"20-24 years",453,10764,42.1
,"25-29 years",528,9969,53.0
,"30-34 years",358,9981,35.9
,"35-39 years",119,8687,13.7
,"40-44 years",28,7750,3.6
,"45-54 years",".",12319,"."
,"Unknown Age",".",".","."
"Cotton","15-17 years",".",257,"."
,"20-24 years",16,280,57.1
,"25-29 years",20,297,67.3
,"30-34 years",11,316,34.8
,"35-39 years",".",290,"."
,"40-44 years",".",331,"."
"Craig","15-17 years",".",551,"."
,"18-19 years",11,298,36.9
,"20-24 years",49,822,59.6
,"25-29 years",59,837,70.5
,"30-34 years",34,907,37.5
,"35-39 years",11,829,13.3
,"40-44 years",".",812,"."
"Creek","15-17 years",5,3018,1.7
,"18-19 years",37,1531,24.2
,"20-24 years",241,4395,54.8
,"25-29 years",275,4378,62.8
,"30-34 years",184,4594,40.1
,"35-39 years",80,4422,18.1
,"40-44 years",19,4525,4.2
"Custer","15-17 years",".",1155,"."
,"18-19 years",25,1203,20.8
,"20-24 years",111,3602,30.8
,"25-29 years",117,1711,68.4
,"30-34 years",66,1572,42.0
,"35-39 years",25,1702,14.7
,"40-44 years",".",1699,"."
"Delaware","15-17 years",".",1592,"."
,"18-19 years",21,804,26.1
,"20-24 years",130,2185,59.5
,"25-29 years",143,2211,64.7
,"30-34 years",84,2180,38.5
,"35-39 years",37,2133,17.3
,"40-44 years",7,2220,3.2
"Dewey","15-17 years",".",214,"."
,"18-19 years",".",104,"."
,"20-24 years",6,228,26.3
,"25-29 years",20,235,85.1
,"30-34 years",9,261,34.5
,"35-39 years",7,266,26.3
"Ellis","18-19 years",".",85,"."
,"20-24 years",8,187,42.8
,"25-29 years",14,182,76.9
,"30-34 years",5,179,27.9
,"35-39 years",5,186,26.9
"Garfield","10-14 years",".",4555,"."
,"15-17 years",13,2830,4.6
,"18-19 years",36,1492,24.1
,"20-24 years",236,4098,57.6
,"25-29 years",240,4116,58.3
,"30-34 years",208,4043,51.4
,"35-39 years",75,4169,18.0
,"40-44 years",21,3984,5.3
"Garvin","15-17 years",".",1183,"."
,"18-19 years",12,550,21.8
,"20-24 years",115,1574,73.1
,"25-29 years",98,1475,66.4
,"30-34 years",73,1570,46.5
,"35-39 years",18,1595,11.3
,"40-44 years",".",1713,"."
,"Unknown Age",".",".","."
"Grady","10-14 years",".",4042,"."
,"15-17 years",15,2509,6.0
,"18-19 years",21,1541,13.6
,"20-24 years",179,3673,48.7
,"25-29 years",177,3130,56.5
,"30-34 years",142,3530,40.2
,"35-39 years",53,3678,14.4
,"40-44 years",9,3965,2.3
"Grant","10-14 years",".",296,"."
,"20-24 years",12,204,58.8
,"25-29 years",15,186,80.6
,"30-34 years",7,233,30.0
,"35-39 years",6,242,24.8
,"40-44 years",".",253,"."
"Greer","15-17 years",".",190,"."
,"18-19 years",".",116,"."
,"20-24 years",18,359,50.1
,"25-29 years",26,408,63.7
,"30-34 years",12,405,29.6
,"35-39 years",5,404,12.4
,"40-44 years",".",388,"."
"Harmon","18-19 years",".",48,"."
,"20-24 years",13,123,105.7
,"25-29 years",8,124,64.5
,"30-34 years",6,121,49.6
,"35-39 years",".",126,"."
"Harper","15-17 years",".",148,"."
,"20-24 years",8,171,46.8
,"25-29 years",13,122,106.6
,"30-34 years",7,153,45.8
,"35-39 years",".",220,"."
,"40-44 years",".",240,"."
"Haskell","15-17 years",".",495,"."
,"18-19 years",".",251,"."
,"20-24 years",61,655,93.1
,"25-29 years",39,628,62.1
,"30-34 years",32,662,48.3
,"35-39 years",11,714,15.4
,"40-44 years",".",733,"."
"Hughes","15-17 years",".",509,"."
,"18-19 years",9,296,30.4
,"20-24 years",47,878,53.5
,"25-29 years",40,1011,39.6
,"30-34 years",24,987,24.3
,"35-39 years",6,900,6.7
,"40-44 years",".",786,"."
"Jackson","15-17 years",5,910,5.5
,"18-19 years",20,609,32.8
,"20-24 years",103,1948,52.9
,"25-29 years",95,1748,54.3
,"30-34 years",68,1780,38.2
,"35-39 years",25,1725,14.5
,"40-44 years",6,1404,4.3
,"45-54 years",".",2539,"."
"Jefferson","15-17 years",".",242,"."
,"18-19 years",6,100,60.0
,"20-24 years",16,309,51.8
,"25-29 years",24,262,91.6
,"30-34 years",14,328,42.7
,"35-39 years",".",310,"."
"Johnston","15-17 years",".",441,"."
,"18-19 years",6,434,13.8
,"20-24 years",33,706,46.7
,"25-29 years",27,566,47.7
,"30-34 years",25,643,38.9
,"35-39 years",11,590,18.6
,"40-44 years",".",593,"."
"Kay","15-17 years",8,1898,4.2
,"18-19 years",29,1153,25.2
,"20-24 years",168,2746,61.2
,"25-29 years",168,2650,63.4
,"30-34 years",118,2756,42.8
,"35-39 years",36,2584,13.9
,"40-44 years",9,2637,3.4
,"45-54 years",".",4674,"."
"Kingfisher","15-17 years",".",719,"."
,"18-19 years",7,349,20.1
,"20-24 years",45,983,45.8
,"25-29 years",56,841,66.6
,"30-34 years",39,957,40.8
,"35-39 years",17,981,17.3
,"40-44 years",".",995,"."
"Kiowa","15-17 years",".",356,"."
,"18-19 years",9,183,49.2
,"20-24 years",19,455,41.8
,"25-29 years",24,431,55.7
,"30-34 years",22,476,46.2
,"35-39 years",5,448,11.2
,"40-44 years",".",518,"."
"Latimer","15-17 years",".",350,"."
,"18-19 years",".",269,"."
,"20-24 years",32,624,51.3
,"25-29 years",34,551,61.7
,"30-34 years",20,554,36.1
,"35-39 years",7,513,13.6
"Le Flore","15-17 years",8,2192,3.6
,"18-19 years",47,1208,38.9
,"20-24 years",188,3073,61.2
,"25-29 years",184,3039,60.5
,"30-34 years",113,3021,37.4
,"35-39 years",48,2990,16.1
,"40-44 years",9,3095,2.9
,"Unknown Age",".",".","."
"Lincoln","15-17 years",9,1471,6.1
,"18-19 years",19,750,25.3
,"20-24 years",102,1930,52.8
,"25-29 years",104,1902,54.7
,"30-34 years",84,2064,40.7
,"35-39 years",36,2046,17.6
,"40-44 years",13,2149,6.0
"Logan","15-17 years",".",2207,"."
,"18-19 years",15,1909,7.9
,"20-24 years",100,3352,29.8
,"25-29 years",168,2671,62.9
,"30-34 years",160,3003,53.3
,"35-39 years",68,3608,18.8
,"40-44 years",11,3563,3.1
,"45-54 years",".",6441,"."
"Love","15-17 years",".",452,"."
,"18-19 years",9,218,41.3
,"20-24 years",45,652,69.0
,"25-29 years",41,606,67.7
,"30-34 years",22,638,34.5
,"35-39 years",15,646,23.2
"McClain","15-17 years",7,2129,3.3
,"18-19 years",17,1051,16.2
,"20-24 years",112,2634,42.5
,"25-29 years",157,2585,60.7
,"30-34 years",142,2832,50.1
,"35-39 years",42,3234,13.0
,"40-44 years",9,3229,2.8
,"45-54 years",".",5717,"."
,"Unknown Age",".",".","."
"McCurtain","15-17 years",11,1339,8.2
,"18-19 years",30,704,42.6
,"20-24 years",165,1898,86.9
,"25-29 years",144,1836,78.4
,"30-34 years",96,1961,49.0
,"35-39 years",37,1774,20.9
,"40-44 years",7,1741,4.0
,"45-54 years",".",3559,"."
"McIntosh","15-17 years",".",707,"."
,"18-19 years",11,397,27.7
,"20-24 years",59,982,60.1
,"25-29 years",64,972,65.8
,"30-34 years",41,986,41.6
,"35-39 years",21,1024,20.5
,"40-44 years",".",1049,"."
,"45-54 years",".",2285,"."
"Major","15-17 years",".",362,"."
,"18-19 years",".",152,"."
,"20-24 years",22,393,56.0
,"25-29 years",25,361,69.3
,"30-34 years",19,388,49.0
,"35-39 years",8,431,18.6
,"40-44 years",".",496,"."
"Marshall","15-17 years",".",648,"."
,"18-19 years",6,343,17.5
,"20-24 years",53,914,58.0
,"25-29 years",57,859,66.4
,"30-34 years",42,874,48.1
,"35-39 years",13,851,15.3
,"40-44 years",".",883,"."
,"45-54 years",".",1796,"."
,"Unknown Age",".",".","."
"Mayes","10-14 years",".",2651,"."
,"15-17 years",8,1685,4.7
,"18-19 years",20,819,24.4
,"20-24 years",167,2412,69.2
,"25-29 years",143,2423,59.0
,"30-34 years",87,2454,35.5
,"35-39 years",31,2334,13.3
,"40-44 years",10,2492,4.0
,"45-54 years",".",4900,"."
"Murray","15-17 years",".",604,"."
,"18-19 years",8,277,28.9
,"20-24 years",38,807,47.1
,"25-29 years",47,694,67.7
,"30-34 years",33,765,43.1
,"35-39 years",13,825,15.8
,"40-44 years",".",880,"."
"Muskogee","15-17 years",12,2916,4.1
,"18-19 years",38,1736,21.9
,"20-24 years",286,4456,64.2
,"25-29 years",272,4164,65.3
,"30-34 years",142,4243,33.5
,"35-39 years",66,4258,15.5
,"40-44 years",9,4308,2.1
"Noble","15-17 years",".",451,"."
,"18-19 years",5,211,23.7
,"20-24 years",24,611,39.3
,"25-29 years",29,578,50.2
,"30-34 years",27,622,43.4
,"35-39 years",11,663,16.6
,"40-44 years",".",651,"."
"Nowata","15-17 years",".",353,"."
,"18-19 years",5,207,24.2
,"20-24 years",34,513,66.3
,"25-29 years",37,506,73.1
,"30-34 years",21,571,36.8
,"35-39 years",11,601,18.3
,"40-44 years",".",531,"."
"Okfuskee","15-17 years",7,476,14.7
,"18-19 years",6,213,28.2
,"20-24 years",48,672,71.4
,"25-29 years",42,717,58.6
,"30-34 years",28,714,39.2
,"35-39 years",7,686,10.2
,"40-44 years",".",733,"."
"Oklahoma","10-14 years",5,56400,0.1
,"15-17 years",165,33636,4.9
,"18-19 years",495,20360,24.3
,"20-24 years",2473,57453,43.0
,"25-29 years",3080,59334,51.9
,"30-34 years",2989,59705,50.1
,"35-39 years",1399,56970,24.6
,"40-44 years",278,52063,5.3
,"45-54 years",11,89494,0.1
"Okmulgee","15-17 years",5,1551,3.2
,"18-19 years",33,1036,31.9
,"20-24 years",132,2491,53.0
,"25-29 years",122,2208,55.3
,"30-34 years",91,2423,37.6
,"35-39 years",35,2131,16.4
,"40-44 years",8,2196,3.6
"Osage","15-17 years",".",1814,"."
,"18-19 years",20,986,20.3
,"20-24 years",95,2625,36.2
,"25-29 years",108,2515,42.9
,"30-34 years",93,2768,33.6
,"35-39 years",28,2672,10.5
,"40-44 years",5,2842,1.8
"Ottawa","15-17 years",5,1266,3.9
,"18-19 years",23,971,23.7
,"20-24 years",149,2115,70.4
,"25-29 years",108,1818,59.4
,"30-34 years",71,1960,36.2
,"35-39 years",35,1651,21.2
,"40-44 years",".",1664,"."
"Pawnee","15-17 years",".",660,"."
,"18-19 years",11,326,33.7
,"20-24 years",46,884,52.0
,"25-29 years",59,904,65.3
,"30-34 years",31,882,35.1
,"35-39 years",14,914,15.3
,"40-44 years",".",955,"."
"Payne","15-17 years",15,2659,5.6
,"18-19 years",26,5834,4.5
,"20-24 years",189,17435,10.8
,"25-29 years",233,5911,39.4
,"30-34 years",170,4751,35.8
,"35-39 years",95,4456,21.3
,"40-44 years",21,4240,5.0
,"45-54 years",".",7048,"."
"Pittsburg","10-14 years",".",2861,"."
,"15-17 years",11,1799,6.1
,"18-19 years",24,896,26.8
,"20-24 years",131,2351,55.7
,"25-29 years",146,2663,54.8
,"30-34 years",73,2805,26.0
,"35-39 years",34,2778,12.2
,"40-44 years",".",2702,"."
"Pontotoc","15-17 years",9,1546,5.8
,"18-19 years",21,919,22.9
,"20-24 years",139,2639,52.7
,"25-29 years",135,2419,55.8
,"30-34 years",113,2638,42.8
,"35-39 years",42,2492,16.9
,"40-44 years",6,2341,2.6
"Pottawatomie","15-17 years",15,2971,5.0
,"18-19 years",31,2183,14.2
,"20-24 years",220,5325,41.3
,"25-29 years",278,4602,60.4
,"30-34 years",171,4697,36.4
,"35-39 years",83,4625,17.9
,"40-44 years",14,4716,3.0
,"45-54 years",".",8951,"."
"Pushmataha","15-17 years",".",425,"."
,"18-19 years",5,220,22.7
,"20-24 years",34,554,61.4
,"25-29 years",40,567,70.5
,"30-34 years",18,588,30.6
,"35-39 years",".",621,"."
,"40-44 years",".",626,"."
"Roger Mills","18-19 years",".",78,"."
,"20-24 years",12,162,74.1
,"25-29 years",13,160,81.3
,"30-34 years",10,167,59.9
"Rogers","15-17 years",17,4080,4.2
,"18-19 years",45,2341,19.2
,"20-24 years",246,6399,38.4
,"25-29 years",349,6089,57.3
,"30-34 years",287,6449,44.5
,"35-39 years",107,6301,17.0
,"40-44 years",31,6131,5.1
,"45-54 years",".",12203,"."
,"Unknown Age",".",".","."
"Seminole","15-17 years",9,999,9.0
,"18-19 years",15,696,21.6
,"20-24 years",102,1562,65.3
,"25-29 years",83,1317,63.0
,"30-34 years",58,1344,43.2
,"35-39 years",17,1316,12.9
,"40-44 years",5,1529,3.3
"Sequoyah","10-14 years",".",2644,"."
,"15-17 years",9,1666,5.4
,"18-19 years",31,866,35.8
,"20-24 years",150,2342,64.0
,"25-29 years",170,2476,68.7
,"30-34 years",91,2456,37.1
,"35-39 years",39,2267,17.2
,"40-44 years",5,2280,2.2
"Stephens","15-17 years",9,1820,4.9
,"18-19 years",29,973,29.8
,"20-24 years",130,2385,54.5
,"25-29 years",143,2400,59.6
,"30-34 years",97,2653,36.6
,"35-39 years",38,2644,14.4
,"40-44 years",13,2714,4.8
,"Unknown Age",".",".","."
"Texas","10-14 years",".",1612,"."
,"15-17 years",5,931,5.4
,"18-19 years",16,622,25.7
,"20-24 years",73,1613,45.3
,"25-29 years",97,1286,75.4
,"30-34 years",67,1359,49.3
,"35-39 years",43,1302,33.0
,"40-44 years",15,1319,11.4
"Tillman","15-17 years",".",314,"."
,"18-19 years",".",155,"."
,"20-24 years",18,392,45.9
,"25-29 years",18,351,51.3
,"30-34 years",12,399,30.1
,"35-39 years",".",394,"."
,"40-44 years",".",414,"."
"Tulsa","10-14 years",8,47619,0.2
,"15-17 years",112,28829,3.9
,"18-19 years",313,17230,18.2
,"20-24 years",1842,46579,39.5
,"25-29 years",2587,46733,55.4
,"30-34 years",2382,49222,48.4
,"35-39 years",1216,47053,25.8
,"40-44 years",214,44121,4.9
,"45-54 years",19,78514,0.2
,"Unknown Age",".",".","."
"Wagoner","15-17 years",8,3675,2.2
,"18-19 years",20,1841,10.9
,"20-24 years",200,4916,40.7
,"25-29 years",309,5348,57.8
,"30-34 years",272,6079,44.7
,"35-39 years",106,6057,17.5
,"40-44 years",19,5976,3.2
"Washington","10-14 years",".",3740,"."
,"15-17 years",8,2247,3.6
,"18-19 years",34,1289,26.4
,"20-24 years",134,3066,43.7
,"25-29 years",187,2998,62.4
,"30-34 years",142,3423,41.5
,"35-39 years",76,3505,21.7
,"40-44 years",7,3252,2.2
,"Unknown Age",".",".","."
"Washita","15-17 years",".",479,"."
,"18-19 years",7,237,29.5
,"20-24 years",36,545,66.1
,"25-29 years",44,560,78.6
,"30-34 years",18,640,28.1
,"35-39 years",11,705,15.6
,"40-44 years",".",685,"."
,"Unknown Age",".",".","."
"Woods","15-17 years",".",291,"."
,"18-19 years",".",494,"."
,"20-24 years",12,1019,11.8
,"25-29 years",44,528,83.3
,"30-34 years",19,576,33.0
,"35-39 years",11,543,20.3
,"40-44 years",".",469,"."
"Woodward","15-17 years",9,849,10.6
,"18-19 years",16,434,36.9
,"20-24 years",69,1268,54.4
,"25-29 years",80,1335,59.9
,"30-34 years",58,1364,42.5
,"35-39 years",17,1313,12.9
,"40-44 years",".",1416,"."

Year 2023
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","18-19 years",".",".","."
,"20-24 years",".",".","."
,"25-29 years",12,".","."
,"30-34 years",7,".","."
,"35-39 years",".",".","."
,"40-44 years",".",".","."
"Adair","15-17 years",6,916,6.6
,"18-19 years",20,506,39.5
,"20-24 years",92,1185,77.6
,"25-29 years",65,1175,55.3
,"30-34 years",48,1194,40.2
,"35-39 years",14,1090,12.8
,"40-44 years",".",1197,"."
,"45-54 years",".",2408,"."
,"Unknown Age",".",".","."
"Alfalfa","18-19 years",".",93,"."
,"20-24 years",7,196,35.7
,"25-29 years",16,280,57.1
,"30-34 years",12,327,36.7
,"35-39 years",8,502,15.9
"Atoka","15-17 years",".",545,"."
,"18-19 years",7,274,25.5
,"20-24 years",53,863,61.4
,"25-29 years",54,1043,51.8
,"30-34 years",27,1062,25.4
,"35-39 years",7,1035,6.8
,"40-44 years",".",926,"."
"Beaver","18-19 years",".",143,"."
,"20-24 years",16,286,55.9
,"25-29 years",15,252,59.5
,"30-34 years",10,309,32.4
,"35-39 years",6,268,22.4
,"Unknown Age",".",".","."
"Beckham","15-17 years",5,965,5.2
,"18-19 years",19,508,37.4
,"20-24 years",61,1505,40.5
,"25-29 years",67,1515,44.2
,"30-34 years",52,1679,31.0
,"35-39 years",21,1649,12.7
,"40-44 years",6,1525,3.9
,"45-54 years",".",2585,"."
"Blaine","18-19 years",".",202,"."
,"20-24 years",29,457,63.5
,"25-29 years",24,406,59.1
,"30-34 years",27,504,53.6
,"35-39 years",8,488,16.4
,"40-44 years",".",499,"."
"Bryan","15-17 years",14,1943,7.2
,"18-19 years",29,1226,23.7
,"20-24 years",227,3329,68.2
,"25-29 years",177,3326,53.2
,"30-34 years",128,3577,35.8
,"35-39 years",55,3281,16.8
,"40-44 years",9,3062,2.9
"Caddo","15-17 years",".",1019,"."
,"18-19 years",14,576,24.3
,"20-24 years",80,1755,45.6
,"25-29 years",84,2019,41.6
,"30-34 years",63,2010,31.3
,"35-39 years",29,1848,15.7
,"40-44 years",6,1831,3.3
,"Unknown Age",".",".","."
"Canadian","10-14 years",".",13046,"."
,"15-17 years",16,7930,2.0
,"18-19 years",46,3926,11.7
,"20-24 years",337,9598,35.1
,"25-29 years",770,12281,62.7
,"30-34 years",636,13920,45.7
,"35-39 years",228,14239,16.0
,"40-44 years",38,13240,2.9
,"45-54 years",".",21094,"."
,"Unknown Age",".",".","."
"Carter","15-17 years",10,2182,4.6
,"18-19 years",38,1106,34.4
,"20-24 years",189,2910,64.9
,"25-29 years",189,3110,60.8
,"30-34 years",158,3280,48.2
,"35-39 years",59,3019,19.5
,"40-44 years",12,3067,3.9
"Cherokee","15-17 years",10,1824,5.5
,"18-19 years",32,1669,19.2
,"20-24 years",175,5044,34.7
,"25-29 years",153,3132,48.9
,"30-34 years",111,2943,37.7
,"35-39 years",42,2752,15.3
,"40-44 years",11,2947,3.7
,"45-54 years",".",5155,"."
,"Unknown Age",".",".","."
"Choctaw","15-17 years",".",612,"."
,"18-19 years",14,303,46.2
,"20-24 years",74,754,98.1
,"25-29 years",50,802,62.3
,"30-34 years",26,869,29.9
,"35-39 years",10,745,13.4
,"40-44 years",".",787,"."
"Cimarron","18-19 years",".",44,"."
,"20-24 years",7,102,68.6
,"25-29 years",6,95,63.2
,"30-34 years",5,104,48.1
,"35-39 years",".",114,"."
"Cleveland","15-17 years",23,11929,1.9
,"18-19 years",87,12302,7.1
,"20-24 years",557,32909,16.9
,"25-29 years",896,21234,42.2
,"30-34 years",732,20395,35.9
,"35-39 years",358,20069,17.8
,"40-44 years",89,21063,4.2
,"45-54 years",5,33966,0.1
"Coal","18-19 years",7,125,56.0
,"20-24 years",28,297,94.3
,"25-29 years",28,318,88.1
,"30-34 years",12,316,38.0
,"35-39 years",".",253,"."
,"40-44 years",".",292,"."
"Comanche","15-17 years",18,4695,3.8
,"18-19 years",86,3963,21.7
,"20-24 years",430,10000,43.0
,"25-29 years",485,9607,50.5
,"30-34 years",356,9913,35.9
,"35-39 years",135,8590,15.7
,"40-44 years",30,7901,3.8
"Cotton","15-17 years",".",250,"."
,"18-19 years",6,126,47.6
,"20-24 years",12,261,46.0
,"25-29 years",23,282,81.6
,"30-34 years",9,339,26.5
,"35-39 years",5,277,18.1
"Craig","15-17 years",".",623,"."
,"18-19 years",9,297,30.3
,"20-24 years",40,824,48.5
,"25-29 years",54,852,63.4
,"30-34 years",34,937,36.3
,"35-39 years",11,878,12.5
,"40-44 years",".",826,"."
"Creek","15-17 years",11,3179,3.5
,"18-19 years",30,1543,19.4
,"20-24 years",242,4139,58.5
,"25-29 years",238,4368,54.5
,"30-34 years",178,4751,37.5
,"35-39 years",77,4538,17.0
,"40-44 years",14,4606,3.0
,"45-54 years",".",8757,"."
"Custer","10-14 years",".",2053,"."
,"15-17 years",".",1228,"."
,"18-19 years",20,1173,17.1
,"20-24 years",112,3488,32.1
,"25-29 years",108,1785,60.5
,"30-34 years",69,1567,44.0
,"35-39 years",30,1661,18.1
,"40-44 years",7,1778,3.9
"Delaware","10-14 years",".",2334,"."
,"15-17 years",6,1605,3.7
,"18-19 years",23,850,27.1
,"20-24 years",133,2047,65.0
,"25-29 years",113,2190,51.6
,"30-34 years",94,2224,42.3
,"35-39 years",25,2188,11.4
,"40-44 years",9,2256,4.0
"Dewey","18-19 years",".",107,"."
,"20-24 years",16,238,67.2
,"25-29 years",12,199,60.3
,"30-34 years",7,265,26.4
,"35-39 years",".",231,"."
,"40-44 years",".",262,"."
"Ellis","18-19 years",".",91,"."
,"20-24 years",14,178,78.7
,"25-29 years",11,188,58.5
,"30-34 years",16,189,84.7
"Garfield","10-14 years",".",4556,"."
,"15-17 years",12,2969,4.0
,"18-19 years",37,1560,23.7
,"20-24 years",202,3940,51.3
,"25-29 years",232,4169,55.6
,"30-34 years",169,4064,41.6
,"35-39 years",78,4147,18.8
,"40-44 years",19,4157,4.6
,"45-54 years",".",6327,"."
